Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Zebra mussel	Dreissena polymorpha	Stable population; Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Conrad's false mussel	Mytilopsis leucophaeata	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Softshell clam	Mya arenaria	Stable population; Anthropogenic	LC (2019)		
lampipallosimpukka	Musculium lacustre	Stable population	LC (2019)		Sphaerium lacustre (Müller, 1774)
pallosimpukka	Sphaerium corneum	Stable population	LC (2019)		
Arctic fingernail clam	Sphaerium nitidum	Stable population	DD (2019)		
suurhernesimpukka	Pisidium amnicum	Stable population	LC (2019)		
syvännehernesimpukka	Pisidium dilatatum	Stable population	NT (2019)		Pisidium subtilestriatum Lindholm, 1909
perushernesimpukka	Euglesa casertana	Stable population	LC (2019)		Pisidium fontinale Pfeiffer, 1821; Pisidium casertanum (Poli, 1791)
viileähernesimpukka	Euglesa conventus	Stable population	LC (2019)		Pisidium conventus Clessin, 1877
purohernesimpukka	Euglesa henslowana	Stable population	LC (2019)		Pisidium henslowanum (Sheppard, 1825)
ruijanhernesimpukka	Euglesa hinzi		DD (2019)		Pisidium hinzi Kuiper, 1975
pyöröhernesimpukka	Euglesa lilljeborgii	Stable population	LC (2019)		Pisidium lilljeborgii Clessin, 1886
pulleahernesimpukka	Euglesa milium	Stable population	LC (2019)		Pisidium milium Held, 1836
kiiltohernesimpukka	Euglesa nitida	Stable population	LC (2019)		Pisidium nitidum Jenyns, 1832
sydänhernesimpukka	Euglesa obtusalis	Stable population	LC (2019)		Pisidium obtusale (Lamarck, 1818)
silohernesimpukka	Euglesa parvula	Stable population	LC (2019)		Pisidium hibernicum Westerlund, 1894
kyhmyhernesimpukka	Euglesa personata	Stable population	DD (2019)		Pisidium personatum Malm, 1855
outohernesimpukka	Euglesa pseudosphaerium	Stable population	DD (2019)		Pisidium pseudosphaerium Favre, 1927
lähdehernesimpukka	Euglesa pulchella	Stable population	LC (2019)		Pisidium pulchellum Jenyns, 1832
vinohernesimpukka	Euglesa subtruncata	Stable population	LC (2019)		Pisidium subtruncatum Malm, 1855
etelänhernesimpukka	Euglesa supina	Stable population	DD (2019)	OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	Pisidium supinum Schmidt, 1850
tunturihernesimpukka	Euglesa waldeni	Stable population	DD (2019)		Pisidium waldeni Kuiper, 1975
kääpiöhernesimpukka	Odhneripisidium moitessierianum	Stable population	LC (2019)		Pisidium moitessierianum Paladilhe, 1866
Atlantic rangia	Rangia cuneata	Anthropogenic		Other invasive species; Other invasive alien species of concern (not included on the national or EU list)	
Blue mussel	Mytilus trossulus	Stable population	LC (2019)		
