Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Gyrfalcon	Falco rusticolus	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix I; EU regulation regarding CITES, Appendix A; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Peregrine Falcon	Falco peregrinus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix I; EU regulation regarding CITES, Appendix A; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Water Rail	Rallus aquaticus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Spotted Crake	Porzana porzana	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 1a Hemiboreal, Åland; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland	
Little Crake	Porzana parva	Irregular breeder; BirdLife Category A	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	Zapornia parva (Scopoli, 1769)
Baillon's Crake	Porzana pusilla	BirdLife Category A; Irregular vagrant			Zapornia pusilla (Pallas, 1776)
Corn Crake	Crex crex	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 1a Hemiboreal, Åland	
Common Moorhen	Gallinula chloropus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Allen's Gallinule	Porphyrio alleni	BirdLife Category A; Irregular vagrant			Gallinula alleni
Eurasian Coot	Fulica atra	Stable population; BirdLife Category A; Regular breeder	EN (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Game bird (Hunting law 1993/615); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
