Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
paahdehepokatti	Platycleis albopunctata	Stable population	EN (2019)		
pensashepokatti	Pholidoptera griseoaptera	Stable population	LC (2019)		
sirppihepokatti	Phaneroptera falcata	Not established	NA (2019)		
tammihepokatti	Meconema thalassinum				
kotisirkka	Acheta domesticus	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
ansarisirkka	Tachycines asynamorus	Irregular vagrant	NA (2019)		Diestrammena asynamora (Adelung, 1902)
rantaokasirkka	Tetrix subulata	Stable population	LC (2019)		
lapinokasirkka	Tetrix fuliginosa	Stable population	DD (2019)		
lännenokasirkka	Tetrix undulata	Stable population	LC (2019)		
nummiokasirkka	Tetrix bipunctata	Stable population	LC (2019)		
sarviokasirkka	Tetrix tenuicornis	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
kangassirkka	Podisma pedestris	Stable population	LC (2019)		
lapinsirkka	Melanoplus frigidus	Stable population	NT (2019)		
idänkulkusirkka	Locusta migratoria	Irregular vagrant	NA (2019)		
palosirkka	Psophus stridulus	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
sinisiipisirkka	Sphingonotus caerulans	Stable population	LC (2019)	OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
ruususiipisirkka	Bryodemella tuberculata	Stable population	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
suosirkka	Stethophyma grossum	Stable population	LC (2019)		
kultaheinäsirkka	Chrysochraon dispar	Stable population	LC (2019)		
niittyheinäsirkka	Omocestus viridulus	Stable population	LC (2019)		
tummaheinäsirkka	Omocestus rufipes	Irregular vagrant	NA (2019)		
ketoheinäsirkka	Chorthippus brunneus	Stable population	LC (2019)		
ahoheinäsirkka	Chorthippus biguttulus	Stable population	LC (2019)		
rantaheinäsirkka	Chorthippus albomarginatus	Stable population	LC (2019)		
piennarheinäsirkka	Chorthippus dorsatus				
nurmiheinäsirkka	Pseudochorthippus parallelus	Stable population	LC (2019)		Chorthippus parallelus (Zetterstedt, 1821)
nevaheinäsirkka	Pseudochorthippus montanus	Stable population	LC (2019)		Chorthippus montanus (Charpentier, 1825)
nuijaheinäsirkka	Myrmeleotettix maculatus	Stable population	LC (2019)		
kolkkaheinäsirkka	Gomphocerippus rufus				
keroheinäsirkka	Aeropedellus variegatus	Stable population	NT (2019)		
Greenhouse cockroach	Pycnoscelus surinamensis	Anthropogenic			
lapintorakka	Ectobius lapponicus	Stable population	LC (2019)		
metsätorakka	Ectobius sylvestris	Stable population	LC (2019)		
russakka	Blattella germanica	Stable population	NA (2019)		
ranskantorakka	Supella longipalpa	Stable population; Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
amerikantorakka	Periplaneta americana	Anthropogenic; Import	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Australian cockroach	Periplaneta australasiae	Anthropogenic; Import	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
black cockroach	Blatta orientalis	Anthropogenic; Extinct; Irregular vagrant	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
	Megathrips lativentris	Stable population	LC (2019)		
	Bolothrips bicolor				
	Bolothrips dentipes	Stable population	LC (2019)		
	Bolothrips icarus	Stable population	LC (2019)		
	Cryptothrips nigripes	Stable population	LC (2019)		
	Bacillothrips nobilis	Not established	NA (2019)		
lily bulb thrips	Liothrips vaneeckei	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
	Liothrips setinodis	Stable population	LC (2019)		
	Haplothrips acanthoscelis	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
	Haplothrips aculeatus	Stable population	LC (2019)		
	Haplothrips alpester	Stable population	LC (2019)		
	Haplothrips angusticornis	Stable population	LC (2019)		
	Haplothrips distinguendus	Stable population	LC (2019)		
	Haplothrips kurdjumovi	Stable population	DD (2019)		
	Haplothrips leucanthemi	Stable population	LC (2019)		
	Haplothrips niger	Stable population	DD (2019)		
	Haplothrips setigeriformis	Stable population	DD (2019)		
	Haplothrips subtilissimus	Stable population	LC (2019)		
	Haplothrips tritici	Stable population	DD (2019)		
	Haplothrips propinquus	Stable population	LC (2019)		
	Xylaplothrips fuliginosus	Stable population	LC (2019)		
